Date,Open,High,Low,Close,Turnover,Profit,Equity Share capital,EMA12,EMA26,OBV,ATR,SMA,Upper_Band,Lower_Band,Buy/Sell
2015-01-01,187.0599012989151,188.2629205645748,186.50058779084105,187.3975830078125,3884940000000.0,235660000000.0,32360000000.0,187.3975830078125,187.3975830078125,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02,187.43980567629816,189.11771813430036,186.63779747551916,186.901611328125,3884940000000.0,235660000000.0,32360000000.0,187.32127967247595,187.3608443648727,-7331366.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,187.43980567629816,189.11771813430036,186.63779747551916,186.901611328125,3884940000000.0,235660000000.0,32360000000.0,187.25671531180657,187.3268271028914,-7331366.0,0.0,0.0,0.0,0.0,1.0
2015-01-04,187.43980567629816,189.11771813430036,186.63779747551916,186.901611328125,3884940000000.0,235660000000.0,32360000000.0,187.20208392970173,187.2953296380939,-7331366.0,0.0,0.0,0.0,0.0,1.0
2015-01-05,186.78552856665718,188.03077218641954,184.48500138512026,184.85435485839844,3884940000000.0,235660000000.0,32360000000.0,186.84089484180893,187.11451669144978,-17435307.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,183.61967106228832,184.25283835806783,175.5994909307032,176.46482849121094,3884940000000.0,235660000000.0,32360000000.0,185.24457694171693,186.3256508988395,-36063287.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,176.67588398130547,181.2558187271422,176.65477887556293,180.30606079101562,3884940000000.0,235660000000.0,32360000000.0,184.48480522622444,185.87975533529698,-15342975.0,0.0,0.0,0.0,0.0,1.0
2015-01-08,181.5301972954716,182.1211684736711,177.3196157061538,177.7206268310547,3884940000000.0,235660000000.0,32360000000.0,183.44416239619832,185.27537544609385,-35215202.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,179.06082482076775,181.9312038556796,178.3432371064679,181.57240295410156,3884940000000.0,235660000000.0,32360000000.0,183.15619940510652,185.00108118742776,-21822415.0,0.0,0.0,0.0,0.0,1.0
2015-01-10,179.06082482076775,181.9312038556796,178.3432371064679,181.57240295410156,3884940000000.0,235660000000.0,32360000000.0,182.91253841264424,184.7471050219962,-21822415.0,0.0,0.0,0.0,0.0,1.0
2015-01-11,179.06082482076775,181.9312038556796,178.3432371064679,181.57240295410156,3884940000000.0,235660000000.0,32360000000.0,182.7063637267146,184.51194190585585,-21822415.0,0.0,0.0,0.0,0.0,1.0
2015-01-12,181.61464455298508,181.7201700961887,177.62566630902836,179.46185302734375,3884940000000.0,235660000000.0,32360000000.0,182.2072082345037,184.13786124818827,-31922528.0,0.0,0.0,0.0,0.0,0.0
2015-01-13,180.03169879091104,180.44326248395512,177.39348985824736,177.95278930664062,3884940000000.0,235660000000.0,32360000000.0,181.5526822456017,183.6797077710366,-41871239.0,0.0,0.0,0.0,0.0,0.0
2015-01-14,177.92112558762875,178.7653580528829,175.4306524951,176.2221221923828,3884940000000.0,235660000000.0,32360000000.0,180.732596083568,183.12729402446965,-53251280.0,3.717620558294566,181.8430186680385,190.02533926018643,173.66069807589056,0.0
2015-01-15,177.28798258747258,183.85185497807848,177.28798258747258,182.40611267089844,3884940000000.0,235660000000.0,32360000000.0,180.99006017392654,183.0738731834644,-36324195.0,4.060587673785433,181.48648507254464,189.03678748873114,173.93618265635814,1.0
2015-01-16,181.50913021662362,184.6749955759399,179.83123157927625,183.556396484375,3884940000000.0,235660000000.0,32360000000.0,181.38488114476476,183.10961565019852,-17187232.0,4.229433626491322,181.24754115513392,188.25159687079307,174.24348543947477,1.0
2015-01-17,181.50913021662362,184.6749955759399,179.83123157927625,183.556396484375,3884940000000.0,235660000000.0,32360000000.0,181.71896042778172,183.14271052680417,-17187232.0,4.3982795791972125,181.00859723772322,187.3815587082847,174.63563576716174,1.0
2015-01-18,181.50913021662362,184.6749955759399,179.83123157927625,183.556396484375,3884940000000.0,235660000000.0,32360000000.0,182.00164289802686,183.17335393106868,-17187232.0,4.567125531903102,180.7696533203125,186.39820472253692,175.14110191808808,1.0
2015-01-19,183.66186799847907,186.99655918033528,181.24526298914586,185.65635681152344,3884940000000.0,235660000000.0,32360000000.0,182.56390657702633,183.3572800703616,-3847270.0,4.724663059752397,180.82693917410714,186.6476201116306,175.00625823658368,1.0
2015-01-20,186.04686044018771,191.12278040083143,185.4875468345721,190.5951385498047,3884940000000.0,235660000000.0,32360000000.0,183.79948072668455,183.89341773550552,9514050.0,4.509083498244877,181.83624703543526,189.11612314980505,174.55637092106548,1.0
2015-01-21,191.00669817210732,192.3574533918318,188.27350188989436,191.37603759765625,3884940000000.0,235660000000.0,32360000000.0,184.96510486068019,184.44768587344262,26598347.0,4.472148616127602,182.62695966448103,191.4352058244248,173.81871350453727,1.0
2015-01-22,191.03833306488193,191.47100185780818,185.62471800971005,186.52171325683594,3884940000000.0,235660000000.0,32360000000.0,185.20458307547338,184.60131753147175,2876720.0,4.546772264740517,183.25560869489397,191.80800126289122,174.7032161268967,0.0
2015-01-23,187.84081111975024,189.48705177661557,185.09707669164138,187.18653869628906,3884940000000.0,235660000000.0,32360000000.0,185.50949932482962,184.7928153955323,20957214.0,4.604058574437839,183.65661839076452,192.3935218523273,174.91971492920175,1.0
2015-01-24,187.84081111975024,189.48705177661557,185.09707669164138,187.18653869628906,3884940000000.0,235660000000.0,32360000000.0,185.76750538197723,184.9701282326254,20957214.0,4.661344884135161,184.05762808663505,192.89720477898075,175.21805139428935,1.0
2015-01-25,187.84081111975024,189.48705177661557,185.09707669164138,187.18653869628906,3884940000000.0,235660000000.0,32360000000.0,185.98581819956365,185.13430678548937,20957214.0,4.718631193832484,184.45863778250558,193.3218945567797,175.59538100823144,1.0
2015-01-26,187.84081111975024,189.48705177661557,185.09707669164138,187.18653869628906,3884940000000.0,235660000000.0,32360000000.0,186.17054442982908,185.28632396406712,20957214.0,4.739736286533473,185.01040104457311,193.48702373641822,176.533778352728,1.0
2015-01-27,188.4528959105982,189.25491827199863,185.8357918142861,187.6403350830078,3884940000000.0,235660000000.0,32360000000.0,186.39666606877967,185.46069515806272,38897090.0,4.766118703105243,185.7023686000279,193.22517253879298,178.17956466126284,1.0
2015-01-28,187.01767360284978,192.01973880254573,187.01767360284978,191.39710998535156,3884940000000.0,235660000000.0,32360000000.0,187.16596513286765,185.90042958971375,58195216.0,4.8852158203847456,186.78629629952567,192.60489512547318,180.96769747357817,1.0
2015-01-29,191.4498986248503,197.23286763259537,191.4076884062996,196.15647888183594,3884940000000.0,235660000000.0,32360000000.0,188.5491210942474,186.66013694468577,94312869.0,4.832452022934023,187.76846531459265,194.8967713887735,180.6401592404118,1.0
2015-01-30,196.28311695543738,196.546944920208,191.85091704038734,193.17002868652344,3884940000000.0,235660000000.0,32360000000.0,189.26002995459754,187.14235114778486,72566068.0,4.8218994431595235,188.45515332903182,195.68703203707406,181.22327462098957,0.0
2015-01-31,196.28311695543738,196.546944920208,191.85091704038734,193.17002868652344,3884940000000.0,235660000000.0,32360000000.0,189.86156822104766,187.588845780284,72566068.0,4.811346863385024,189.141841343471,196.19342908308144,182.09025360386053,1.0
2015-02-01,196.28311695543738,196.546944920208,191.85091704038734,193.17002868652344,3884940000000.0,235660000000.0,32360000000.0,190.37056213881314,188.00226673630175,72566068.0,4.800794283610524,189.82852935791016,196.3926140231147,183.2644446927056,1.0
2015-02-02,193.33887223831914,194.15144716507217,191.15443696015222,191.65042114257812,3884940000000.0,235660000000.0,32360000000.0,190.56746352400776,188.27250039602592,53263358.0,4.604059570305561,190.25667681012834,196.4180789206712,184.09527469958547,0.0
2015-02-03,192.73732970721403,198.57306079629137,192.73732970721403,197.8871307373047,3884940000000.0,235660000000.0,32360000000.0,191.69356617220728,188.98469523612064,70355691.0,4.618380821935419,190.77753339494978,198.17172104021583,183.38334574968374,1.0
2015-02-04,198.20374420763787,199.19571258821324,195.4177991510626,196.0298614501953,3884940000000.0,235660000000.0,32360000000.0,192.36068852266698,189.50655940012618,56282797.0,4.596520960164933,191.10994938441686,199.02045404189764,183.1994447269361,0.0
2015-02-05,197.5494441327619,198.37255742407706,193.66599159492372,194.9534454345703,3884940000000.0,235660000000.0,32360000000.0,192.75957420142134,189.91003243971466,43917154.0,4.515112530240306,191.71221596854073,199.39866104823494,184.02577088884652,0.0
2015-02-06,195.0378574839251,196.28308696569084,190.58455313921462,192.0408477783203,3884940000000.0,235660000000.0,32360000000.0,192.64900090555966,190.06787061294472,34871310.0,4.608581011776165,192.05895233154297,199.2904592922316,184.82744537085435,0.0
